순위	빈도	항목	범주
233	2	가	연
214	21	가	종
234	1	간디	연
233	2	간디	종
225	10	갔	선
49	2712	거나	연
215	20	거늘	연
205	30	거니	연
219	16	거니	종
161	117	거니와	연
234	1	거던	종
169	89	거든	연
72	1314	거든	종
234	1	거든요	종
228	7	거들랑	연
234	1	거들랑	종
234	1	거등	종
159	121	거라	종
126	319	건	연
180	68	건대	연
234	1	건마는	연
171	85	건만	연
234	1	걸랑	연
230	5	걸랑	종
234	1	걸래	연
230	5	것	선
228	7	것다	종
167	93	겄	선
10	38084	게	연
130	278	게	종
176	76	게끔	연
215	20	게나	종
231	4	게시리	연
234	1	겐나	종
24	8638	겠	선
234	1	겠	종
234	1	고	관
4	95914	고	연
108	479	고	종
128	305	고는	연
110	454	고도	연
234	1	고래	종
234	1	고롬	연
233	2	고마	종
211	24	고말고	종
105	491	고서	연
232	3	고서리	연
212	23	고야	연
234	1	고요	종
89	809	고자	연
234	1	고져	연
91	742	곤	연
212	23	구	연
233	2	구	종
230	5	구나	연
97	647	구나	종
209	26	구려	종
233	2	구마	종
233	2	구마이	종
205	30	구만	종
168	92	구먼	종
229	6	구서	연
233	2	구서리	연
234	1	구요	종
101	572	군	종
232	3	군요	종
227	8	그라	종
234	1	그래이	종
234	1	긋	선
234	1	긍	선
12	26713	기	명
232	3	기	연
228	7	기로	연
234	1	기로니	연
234	1	기로서	연
229	6	기로서니	연
234	1	기를	종
109	466	기에	연
233	2	기오	종
227	8	기요	종
189	52	길래	연
228	7	까	종
234	1	까지	연
234	1	깐	종
230	5	께	종
234	1	꼬	종
1	172925	ㄴ	관
234	1	ㄴ	명
226	9	ㄴ	연
233	2	ㄴ	종
35	4952	ㄴ가	종
234	1	ㄴ가배	종
234	1	ㄴ가베	종
234	1	ㄴ갑	선
173	83	ㄴ걸	종
233	2	ㄴ게	연
216	19	ㄴ고	종
231	4	ㄴ교	종
234	1	ㄴ기	종
234	1	ㄴ기라	종
228	7	ㄴ께	연
234	1	ㄴ께네	연
234	1	ㄴ나	종
234	1	ㄴ는지	연
234	1	ㄴ다	종
149	161	ㄴ다고	연
155	137	ㄴ다고	종
234	1	ㄴ다구	연
233	2	ㄴ다구	종
234	1	ㄴ다꼬	연
229	6	ㄴ다나	종
234	1	ㄴ다냐	종
215	20	ㄴ다네	종
227	8	ㄴ다느니	연
234	1	ㄴ다는	관
234	1	ㄴ다니	연
219	16	ㄴ다니	종
196	41	ㄴ다니까	종
233	2	ㄴ다니께	종
234	1	ㄴ다마는	연
233	2	ㄴ다만	연
232	3	ㄴ다며	연
222	13	ㄴ다며	종
71	1371	ㄴ다면	연
230	5	ㄴ다면	종
227	8	ㄴ다면서	종
232	3	ㄴ다손	연
230	5	ㄴ다오	종
231	4	ㄴ다요	종
234	1	ㄴ다이	종
234	1	ㄴ다카이	종
175	77	ㄴ단다	종
228	7	ㄴ담	종
234	1	ㄴ답니까	종
208	27	ㄴ답니다	종
212	23	ㄴ답시고	연
234	1	ㄴ당가	종
234	1	ㄴ당께	종
234	1	ㄴ대	연
223	12	ㄴ대	종
234	1	ㄴ대이	종
229	6	ㄴ댜	종
48	2756	ㄴ데	연
125	321	ㄴ데	종
234	1	ㄴ데도	연
234	1	ㄴ데요	종
234	1	ㄴ데이	종
234	1	ㄴ뎁쇼	종
177	75	ㄴ들	연
227	8	ㄴ디	연
234	1	ㄴ디	종
234	1	ㄴ디야	종
224	11	ㄴ바	연
234	1	ㄴ저	종
215	20	ㄴ즉	연
93	729	ㄴ지	연
54	2430	ㄴ지	종
232	3	ㄴ지니	연
232	3	ㄴ지니라	종
204	31	ㄴ지라	연
230	5	ㄴ지라	종
231	4	ㄴ지어다	종
219	16	ㄴ지언정	연
95	675	나	연
64	1621	나	종
212	23	나니	연
221	14	나마	연
234	1	나요	종
232	3	나이까	종
219	16	나이다	종
234	1	난	종
233	2	난다	종
231	4	남	종
234	1	냐	연
60	2180	냐	종
234	1	냐고	연
165	100	냐고	종
234	1	냐는	관
207	28	너라	종
233	2	넌	관
234	1	네	연
70	1464	네	종
234	1	네요	연
227	8	네요	종
211	24	노	종
226	9	노니	연
234	1	노라	연
164	105	노라	종
222	13	노라고	연
225	10	노라니	연
234	1	노라니까	연
184	60	노라면	연
223	12	뇨	종
209	26	누	종
227	8	누나	종
234	1	누만	종
232	3	누먼	종
233	2	느냐	연
73	1268	느냐	종
234	1	느냐고	연
221	14	느냐고	종
233	2	느뇨	종
181	65	느니	연
232	3	느니	종
199	36	느니라	종
233	2	느니만	연
233	2	느니만큼	연
140	210	느라	연
226	9	느라	종
157	133	느라고	연
234	1	느라면	연
234	1	느만	종
3	123628	는	관
229	6	는	명
233	2	는	선
230	5	는	연
233	2	는	종
57	2274	는가	종
234	1	는갑다	종
182	64	는걸	종
230	5	는고	종
234	1	는공	종
232	3	는교	종
234	1	는구나	연
152	144	는구나	종
232	3	는구려	종
229	6	는구만	종
213	22	는구먼	종
162	116	는군	종
234	1	는기라	종
234	1	는냐	종
38	3817	는다	종
205	30	는다고	연
221	14	는다고	종
233	2	는다느니	연
232	3	는다니	종
234	1	는다니까	종
234	1	는다마는	연
147	163	는다면	연
234	1	는다면서	종
234	1	는다오	종
228	7	는단다	종
233	2	는답니다	종
234	1	는답시고	연
234	1	는당께	종
234	1	는대	종
23	8740	는데	연
122	348	는데	종
234	1	는데요	종
234	1	는데이	종
234	1	는뎁쇼	종
201	34	는디	연
228	7	는디	종
217	18	는바	연
234	1	는설	종
96	657	는지	연
62	1947	는지	종
217	18	는지라	연
234	1	능	관
