순위	빈도	위치	자모
5	1171038	초성	ㄱ
20	411538	종성	ㄱ
36	64997	초성	ㄲ
56	6068	종성	ㄲ
63	357	종성	ㄳ
16	596893	초성	ㄴ
4	1328090	종성	ㄴ
60	2790	종성	ㄵ
43	30376	종성	ㄶ
9	800785	초성	ㄷ
49	18535	종성	ㄷ
35	72604	초성	ㄸ
15	610211	초성	ㄹ
10	776891	종성	ㄹ
55	7330	종성	ㄺ
57	4344	종성	ㄻ
61	2183	종성	ㄼ
67	5	종성	ㄽ
65	131	종성	ㄾ
66	78	종성	ㄿ
59	3023	종성	ㅀ
18	429661	초성	ㅁ
24	258542	종성	ㅁ
23	359029	초성	ㅂ
29	133729	종성	ㅂ
52	16037	초성	ㅃ
46	25868	종성	ㅄ
11	756477	초성	ㅅ
30	114592	종성	ㅅ
44	29184	초성	ㅆ
25	219186	종성	ㅆ
1	2105587	초성	ㅇ
14	617205	종성	ㅇ
12	748509	초성	ㅈ
50	17173	종성	ㅈ
48	20434	초성	ㅉ
26	200266	초성	ㅊ
54	9944	종성	ㅊ
39	48097	초성	ㅋ
64	302	종성	ㅋ
31	106679	초성	ㅌ
47	25341	종성	ㅌ
33	98986	초성	ㅍ
51	16938	종성	ㅍ
13	635299	초성	ㅎ
45	26948	종성	ㅎ
2	1926007	중성	ㅏ
21	409768	중성	ㅐ
37	63728	중성	ㅑ
58	3769	중성	ㅒ
7	942819	중성	ㅓ
22	393695	중성	ㅔ
19	422490	중성	ㅕ
42	44394	중성	ㅖ
8	862073	중성	ㅗ
28	162656	중성	ㅘ
53	11215	중성	ㅙ
32	99794	중성	ㅚ
34	94576	중성	ㅛ
17	592419	중성	ㅜ
38	57373	중성	ㅝ
62	2035	중성	ㅞ
40	47506	중성	ㅟ
41	47135	중성	ㅠ
6	1151976	중성	ㅡ
27	179818	중성	ㅢ
3	1355527	중성	ㅣ
